,unit_id,depth,cell_type0,cell_type,FR,Diff_spread,Spread,A,W,TPW,PTratio,REP,spread_below,spread_above,W_below,W_above,PL_below,PL_above
714,950923858,-220.0,2.0,0,20.38813487642848,34.76347634763479,164.25242524252425,135.47866766758094,0.1255625562556255,0.22736273627362735,651.4480835000313,0.2243924392439245,64.74447444744473,99.50795079507952,-0.47659765976597773,0.7603188890317608,-0.11206120612061166,1.7177574900347177
715,950925920,-200.0,3.0,1,1.0484733312216274,6.146614661466145,108.80488048804878,112.34602101119444,0.16849684968496859,0.5824482448244825,331.77346761485455,0.3010801080108012,51.32913291329132,57.47574757475746,1.0247524752475252,0.9869486948694867,1.4824482448244825,0.9329432943294336
716,950923920,-200.0,4.0,1,1.584821074915859,-13.15931593159317,128.4148414841484,200.17278323586754,0.17308730873087308,0.5802880288028803,575.412274735784,0.2894689468946896,70.78707870787079,57.62776277627762,0.7039989713257038,2.374887488748876,0.4443872958724446,3.2673267326732685
717,950923907,-200.0,2.0,0,30.74137648373907,69.11891189118916,115.15151515151518,98.42708725350458,0.15121512151215133,0.3035103510351036,269.81287517962426,0.2468046804680467,23.016301630163014,92.13521352135217,-0.8303330333033299,2.1189404654751187,-0.12286228622862327,3.601388710299603
718,950923893,-200.0,1.0,0,8.695754063894224,-35.543554355435546,192.45124512451247,110.63939559050228,0.1725472547254726,0.2708370837083709,211.29834979954276,0.23465346534653464,113.997399739974,78.45384538453845,0.10068149672110133,0.8876173331618881,-1.9912562684839914,-0.31554584029831617
719,950925938,-180.0,5.0,1,0.7405059171004233,-8.59885988598856,159.19791979197922,89.79044863936618,0.13123312331233117,0.5470747074707472,407.67482132651486,0.32592259225922593,83.89838983898389,75.29952995299533,0.42162787707342164,2.812331233123315,-1.1692169216921702,2.237173717371738
720,950924013,-180.0,4.0,1,2.5052630092556383,-69.06290629062906,176.86968696869687,94.83725381778919,0.17146714671467145,0.6340234023402341,262.75038724051717,0.27650765076507655,122.96629662966296,53.903390339033905,0.5763147743345771,3.992349234923494,0.18477562041918544,3.67911791179118
721,950923993,-180.0,5.0,1,1.9550740334660712,-16.00960096009598,136.43364336433646,153.50929896283805,0.14095409540954107,0.6156615661566157,599.3378781817388,0.2783978397839786,76.22162216221622,60.21202120212024,0.3356049890703372,2.9716471647164706,-0.4764047833354771,2.139963996399641
722,950923972,-180.0,2.0,0,9.491624909375988,-6.2046204620461936,137.4217421742174,110.2230394452798,0.16930693069306935,0.39936993699369927,298.37803681594625,0.24464446444644472,71.8131813181318,65.6085608560856,-1.7115854442587106,-0.27234151986627203,-2.957181432428957,3.0983669795550983
723,950924156,-160.0,4.0,1,5.228525424012802,-5.10251025102508,113.06130613061305,92.74355407857034,0.16525652565256532,0.570837083708371,272.6991867024242,0.31863186318631853,59.081908190819064,53.979397939793984,0.4441944194419446,2.369486948694868,-0.18631863186318653,3.7533753375337544
724,950926191,-160.0,3.0,1,1.155742879960474,-21.02610261026102,149.2029202920292,78.17029550946718,0.1798379837983799,0.5643564356435644,200.3019863589377,0.2964896489648965,85.1145114511451,64.08840884088409,0.17551755175517594,2.252025202520252,-0.020444901633020728,1.8010801080108012
725,950924121,-160.0,4.0,1,0.6678394485999145,-31.287128712871294,147.83478347834782,83.67851595211638,0.16390639063906387,0.5905490549054907,236.0220629826468,0.25058505850585067,89.56095609560955,58.27382738273826,0.032403240324032,2.0441044104410455,0.21756461360421755,2.9837983798379852
