,layer_cre,layer,cell_list,true_label,Diff_spread,Spread,W_dist,PL_dist,cre_lines,cell_type,A,W,TPW,Rslope,REP,spread_below,spread_above,W_below,W_above,PL_below,PL_above,label,str_label
10,L5_Scnn1a,L5,468120757,L5 IT,33.34083408340837,75.65106510651059,0.6747446856930112,3.2047811730686973,Scnn1a,1,50.77373087185492,0.26930026335966906,0.5656899023235655,57.94174030467092,0.4031536486982033,21.15511551155112,54.49594959495949,0.009105672472002576,-0.9633387581182304,-1.9634106267769649,6.495655626168674,3,RS1
11,L5_Rorb,L5,484559000,Unknown,39.355435543554336,95.72907290729073,1.9972111006795588,1.9554328296395755,Rorb,1,15.438955091693332,0.3991699169916991,0.8333966730006335,7.432059766495067,0.5895922925625898,28.186818681868203,67.54225422542254,2.5420002317692134,0.2824827937339158,-7.912449975156248,10.677849603142132,4,RS2
12,L5_Rorb,L5,476048909,L5 IT,8.24332433243319,53.18281828182818,0.016790201366710496,5.930173148494737,Rorb,1,23.3276668118998,0.3131213121312133,0.6557222388905557,19.755639615957183,0.58003133646698,22.4697469746975,30.71307130713069,-1.8768572509424848,1.900602181430262,-9.458517280299457,1.071985986477436,5,RS3
13,L5_Rorb,L5,314822529,L5 IT,4.538453845384538,53.54135413541349,0.7482802306707959,5.719964790004605,Rorb,1,45.32194154682414,0.33224322432243225,0.9114778144481112,31.56840675115592,0.6589092242557588,24.50145014501448,29.03990399039901,-5.3012563826215,6.359484433291807,-0.908670232102574,8.99792201442366,3,RS1
14,L23_Nr5a1,L23,318808427,L4,28.001800180017995,80.5510551055105,3.8781356886220246,1.9661639675599465,Nr5a1,1,26.96778837497025,0.3641130779744641,0.8198519851985195,15.6286068836748,0.5537387072040539,26.27462746274625,54.276427642764254,-5.564186721702472,0.07967463413008086,-10.58724126380892,7.806665515036348,5,RS3
15,L4_Pvalb,L4,487667205,Unknown,-1.915191519151904,39.1999199919992,2.9620623444698064,5.3156691688547095,Pvalb,0,40.76249672997685,0.2477881121445477,0.6286328632863287,59.518866499010755,0.4708770877087707,20.55755575557555,18.642364236423646,-5.8940259105275565,1.7050371703837095,-7.007573773250347,-0.5099176584324994,1,FS2
16,L4_Pvalb,L4,475888653,Unknown,-0.6005600560056337,34.299929992999296,1.1576702810594286,0.6256741186571446,Pvalb,0,47.8497505658541,0.2501783511684501,0.6836083608360837,68.08421812782558,0.5043404340434043,17.450245024502465,16.84968496849683,-9.60610505494994,11.243298067180458,-17.646034444714306,18.530871268945077,0,FS1
17,L5_Pvalb,L5,471085676,Unknown,-6.4566456645665085,53.5413541354136,4.198752822942866,7.0474309397040535,Pvalb,0,54.40966238325968,0.1713004633796713,0.4788445511217785,148.92710427950715,0.2525685901923529,29.99899989999005,23.542354235423545,-1.5775577557755796,7.515490943033699,-0.6489861107322832,10.615558525549524,2,FS3
18,L5_Pvalb,L5,469801569,Unknown,1.909190919091884,44.93649364936493,2.1132049460188225,3.5558113278138572,Pvalb,0,86.44989585036377,0.2939993999399941,0.7577057705770578,78.38429135996522,0.5131046437977127,21.513651365136525,23.42284228422841,-8.316583173468867,5.328060078735144,-15.725358394425301,10.69668178939106,0,FS1
19,L5_Pvalb,L5,469610831,Unknown,2.5067506750675648,46.490149014901476,1.465824662022745,2.4546502434850974,Pvalb,0,76.0778960420637,0.19838983898389828,0.5250558389172251,172.9402330286089,0.3840317365069841,21.99169916991696,24.49844984498452,-4.876087608760873,2.8030984916673485,-4.4405329421831095,0.9691332769640646,1,FS2
